speaker_A,speaker_B,timestamp_A,timestamp_B,words_A,words_B,time_diff,weight,cosine_similarity,weighted_similarity
mathias,keetra,1,3,"And we're on. Welcome to this conversation of the Local Voices Network. We're grateful that you decided to join us. There are three main purposes for this conversation. First, we want to create a new space for community members to listen and learn about each other's lives. Second, we want to connect across groups and build our relationship with one another. And third, we want to create a unique listening channel through which we will lift or lift up the voices and the needs of the community to the candidates, local policy makers and members of the media. This conversation will be recorded, transcribed, and added to a growing collection of similar conversations. We'll be making the recordings available to journalists, public officials, researchers, and other participants and partners in the project at Cortico's discretion. Our goal eventually is to make them assessable to the general public. As a participant in this conversation, you are providing consent to Cortico, the operator, or the Local Voices Network to use their recording in accordance with their missions and fostering conversations in communities, and in the media to improve our understanding of one another. This is a public conversation and portions of it may appear in our local newspapers or website, or be broadcast on a local radio station, or appear somewhere else including other forms of media. So please don't say anything you wouldn't want heard by the general public. If you understand and agree to this, please say I agree and we'll just go one by one.",I agree.,2,0.8187307530779818,0.14893731474876404,0.12193955986566798
mathias,keetra,11,15,"Awesome. All right, so that was the legal terminology that I had to get through. Right now we can get into the front end part. So why don't we do a quick go around and introductions. Please share just your first name and addition to your first name, please share a little bit about your background info, who you are, like where you live or what you do, and a value that's important to you and how it relates to what brought you here today. You're also welcome to share any gender pronouns if you'll feel comfortable, and then just limit your speaking to two or three sentences or 30 seconds per person. So I'll start. My name is Mathias Lemos Castillo. I am the Community Builder for the Local Voices Network. Please do not say your last name. I just did that. But one of the other things that brought me here to the Local Voices Network essentially is curiosity. I'm curious in seeing how conversations essentially can bring people back together to the table and talk about those difficult issues that are going on in our community. And I'm curious to see how we can work together and collaborate to make a stronger democracy. If you don't mind.","I'm Keetra. I am a 22 year resident of the city of Madison, born and raised in Chicago. In this capacity, I am a black professional female in our community, who is the mother of adult children and a grandmother too. The role I play with the United Way is Senior Director of Stakeholder Engagement. So I gauge in a lot with our community, helping them understand the different roles that we play, a lot of other things. The value that is most important to me is loyalty, and I would say that that's relevant to this conversation, because in order to genuinely engage with people and move things in the direction that the community desires, we need to hear there authentic voices and establish loyalty with those.",4,0.6703200460356393,0.42997848987579346,0.2882232011278765
mathias,keetra,13,15,Do you have a value?,"I'm Keetra. I am a 22 year resident of the city of Madison, born and raised in Chicago. In this capacity, I am a black professional female in our community, who is the mother of adult children and a grandmother too. The role I play with the United Way is Senior Director of Stakeholder Engagement. So I gauge in a lot with our community, helping them understand the different roles that we play, a lot of other things. The value that is most important to me is loyalty, and I would say that that's relevant to this conversation, because in order to genuinely engage with people and move things in the direction that the community desires, we need to hear there authentic voices and establish loyalty with those.",2,0.8187307530779818,0.20784807205200195,0.1701716085569422
mathias,keetra,21,25,"All right. So right now this next thing we would like to do is, I invite you to share a little bit about your background. Take a minute to think about a personal story from your life that has shaped who you are and what help others understand what's important to you. If it helps, you can reflect on that value. Just select them in the last round and think of a story that illustrates a time when this value has either challenged, or reinforced you. We will go again once. We will just go again once again around the table and just share our story and as a reminder, you're invited to share a personal story that will help other people understand what's important to you. Please remember that this is being recorded, so we ask that you don't say anything that you wouldn't want the public to know, or just be open to the community. Right here, I'll open up the floor and whoever would like to take it.","I can go next since everyone's looking at me. I would think back to growing up in Chicago as a daddy less daughter. And the reason that my father wasn't in my life was, because he was incarcerated. And the reason that he was incarcerated was because he couldn't find a job. The reason he couldn't find a job is there's a lot of instances he was discriminated against, and making illegal money in some situations became the only way to make money. So not only was my father in prison, all of his brothers were also in prison. And so I grew up as a little kid going to visit men that I love in prison. And so one thing that it did, was life scared me completely straight. Like, ""Hey, it's not for me."" But another thing that it did, is made systemic racism very real to me in my life every day. And then growing up in Chicago, I would be around, just in the neighborhood. Other people who were headed down similar paths, because of the limited opportunities they had for survival. I saw how people from outside of the community benefited from the corruption of the community. Police officers giving drugs to people to sell. Like it's just, that's the way business happens. That's the way things are done. Then it's time for punishment. People who were either dying or going to jail look a lot like me, and that has made poverty and all of the specific symptoms of poverty or whatever shape that plays, homelessness, incarceration, joblessness, lack of education. All of those things allow me to see those people as people, and people who are just trying really hard to push up against the system that's designed to keep them exactly where they are. And that's why I do the work that I do. And that is what drives me every day. Just knowing that people are all human. We all want great things for our families. We all have great intentions, but not all of us have the privileges of having the opportunities to do it the legal way.",4,0.6703200460356393,0.3742993175983429,0.2509003358036296
mathias,keetra,23,25,Thank you.,"I can go next since everyone's looking at me. I would think back to growing up in Chicago as a daddy less daughter. And the reason that my father wasn't in my life was, because he was incarcerated. And the reason that he was incarcerated was because he couldn't find a job. The reason he couldn't find a job is there's a lot of instances he was discriminated against, and making illegal money in some situations became the only way to make money. So not only was my father in prison, all of his brothers were also in prison. And so I grew up as a little kid going to visit men that I love in prison. And so one thing that it did, was life scared me completely straight. Like, ""Hey, it's not for me."" But another thing that it did, is made systemic racism very real to me in my life every day. And then growing up in Chicago, I would be around, just in the neighborhood. Other people who were headed down similar paths, because of the limited opportunities they had for survival. I saw how people from outside of the community benefited from the corruption of the community. Police officers giving drugs to people to sell. Like it's just, that's the way business happens. That's the way things are done. Then it's time for punishment. People who were either dying or going to jail look a lot like me, and that has made poverty and all of the specific symptoms of poverty or whatever shape that plays, homelessness, incarceration, joblessness, lack of education. All of those things allow me to see those people as people, and people who are just trying really hard to push up against the system that's designed to keep them exactly where they are. And that's why I do the work that I do. And that is what drives me every day. Just knowing that people are all human. We all want great things for our families. We all have great intentions, but not all of us have the privileges of having the opportunities to do it the legal way.",2,0.8187307530779818,0.07993558794260025,0.06544572411397635
mathias,keetra,38,41,Thank you for sharing.,"I can go first. I would say I live in Madison and I like Madison because I believe in the possibility of Madison becoming the city that we all want it to be. And what I mean by that is, right now of course there is a tale of two cities, but I think we've reached a spot where people are now aware that there's a tale of two cities, or they are now validated in knowing for a long time that there is a tale of two cities. And in my work I come across a lot of organizational leaders, a lot of people in public office, a lot of everyday people. And what I see time and time again is especially like in smaller groups like this, is that, and I've mentioned this in a speech recently, that we are all able to connect on a human level. We know what's right, we know what looks right, what feels right. And if you think back to the incident where the school behavioral specialists body-slammed a little black girl and snatch braids out of her head regardless of any policy or practice, we know we wouldn't want that to happen to our child. On a human level, that's wrong. It doesn't matter who wrote what policy and what's in place. So I think we're all able to connect and know what the right thing to do is. I think that our challenge is realizing that people, everyday people in our community, make up the systems that interfere with us becoming the city that we want to be. And what I mean by that is, in that same scenario, the school district says, well this person was practicing in line with his role and responsibilities in the school district, so he can't be terminated. We'll refer it to the Madison Police Department. The Police Department says, well, if the School District says he didn't do anything wrong, he didn't break any laws. So there's nothing we can do as a Police Department, we'll refer to the District Attorney's Office. The District Attorney's Office says, well if the police didn't file any charges, there's nothing we can do, because we can't take any legal action. So everybody is pointing the finger at the next person or the next entity as the reason why. But in pointing those fingers we're ultimately pointing our fingers at ourselves, because we made those policies and practices. So I think that once we realize that we are the systems, we are the people who make up the policies and the practices, and it's our relationships, and our friendships, and our professional networks that create this brick wall that we all keep on bump our heads up against, until we realize that we're just going to continue passing the ball. We just have to be brave enough. Like I tell all leaders, this requires brave leadership. People who are not afraid to be disliked, to make those bold calls, to make those really brave choices. That change things to the point where we don't have those excuses or reasons why we can't do X, Y, Z anymore, but we work together to make sure that the right thing is accomplished basically. I believe in our ability to get there. It's frustrating. It's frustrating just to see us continue to bump up against that system and people to see that as the end all be all. It's frustrating for me to see people who are in agreement that change needs to happen until they have to sacrifice something, or something is taken away from that particular person or group of people. There was a quote once that really hit me. It said, when you're accustomed to privilege, equity feels like oppression. So in other words, if you're used to being spoonfed and having your way, when it's time to make sure that everyone has what they need, it feels like something's being taken away from you. But the fact that you had more in the first place is what was wrong all the time. So yeah, that's what I think.",3,0.7408182206817179,0.136971116065979,0.10147069848878763
mathias,keetra,40,41,"Well, thank you for sharing. Then I'm going to move us along to the next section. This one's more community focused. We want to move on to conversation about your hopes and concerns for your community. So I got a few questions start us off, but we hope this will be a time for you guys to just essentially go back and forth amongst each other's stories. And the two questions that you can either choose to answer both, or one or the other is, first one, what do you like most about living here? Share a story from your experience that will help us give a better picture of what you like and why. And then the other question is what most concerns you about life in this community these days? And can you also share a story from your experiences that will help us understand this concern a little bit better?","I can go first. I would say I live in Madison and I like Madison because I believe in the possibility of Madison becoming the city that we all want it to be. And what I mean by that is, right now of course there is a tale of two cities, but I think we've reached a spot where people are now aware that there's a tale of two cities, or they are now validated in knowing for a long time that there is a tale of two cities. And in my work I come across a lot of organizational leaders, a lot of people in public office, a lot of everyday people. And what I see time and time again is especially like in smaller groups like this, is that, and I've mentioned this in a speech recently, that we are all able to connect on a human level. We know what's right, we know what looks right, what feels right. And if you think back to the incident where the school behavioral specialists body-slammed a little black girl and snatch braids out of her head regardless of any policy or practice, we know we wouldn't want that to happen to our child. On a human level, that's wrong. It doesn't matter who wrote what policy and what's in place. So I think we're all able to connect and know what the right thing to do is. I think that our challenge is realizing that people, everyday people in our community, make up the systems that interfere with us becoming the city that we want to be. And what I mean by that is, in that same scenario, the school district says, well this person was practicing in line with his role and responsibilities in the school district, so he can't be terminated. We'll refer it to the Madison Police Department. The Police Department says, well, if the School District says he didn't do anything wrong, he didn't break any laws. So there's nothing we can do as a Police Department, we'll refer to the District Attorney's Office. The District Attorney's Office says, well if the police didn't file any charges, there's nothing we can do, because we can't take any legal action. So everybody is pointing the finger at the next person or the next entity as the reason why. But in pointing those fingers we're ultimately pointing our fingers at ourselves, because we made those policies and practices. So I think that once we realize that we are the systems, we are the people who make up the policies and the practices, and it's our relationships, and our friendships, and our professional networks that create this brick wall that we all keep on bump our heads up against, until we realize that we're just going to continue passing the ball. We just have to be brave enough. Like I tell all leaders, this requires brave leadership. People who are not afraid to be disliked, to make those bold calls, to make those really brave choices. That change things to the point where we don't have those excuses or reasons why we can't do X, Y, Z anymore, but we work together to make sure that the right thing is accomplished basically. I believe in our ability to get there. It's frustrating. It's frustrating just to see us continue to bump up against that system and people to see that as the end all be all. It's frustrating for me to see people who are in agreement that change needs to happen until they have to sacrifice something, or something is taken away from that particular person or group of people. There was a quote once that really hit me. It said, when you're accustomed to privilege, equity feels like oppression. So in other words, if you're used to being spoonfed and having your way, when it's time to make sure that everyone has what they need, it feels like something's being taken away from you. But the fact that you had more in the first place is what was wrong all the time. So yeah, that's what I think.",1,0.9048374180359595,0.3630560338497162,0.3285066842709531
mathias,keetra,40,43,"Well, thank you for sharing. Then I'm going to move us along to the next section. This one's more community focused. We want to move on to conversation about your hopes and concerns for your community. So I got a few questions start us off, but we hope this will be a time for you guys to just essentially go back and forth amongst each other's stories. And the two questions that you can either choose to answer both, or one or the other is, first one, what do you like most about living here? Share a story from your experience that will help us give a better picture of what you like and why. And then the other question is what most concerns you about life in this community these days? And can you also share a story from your experiences that will help us understand this concern a little bit better?","And in those situations too, Claude. I always think back to the role that the media plays in this, that-",3,0.7408182206817179,0.22922921180725098,0.1698171768193203
mathias,keetra,72,73,"I'm going to... Okay. I just want to get us on a track. That's all. But I love the fact that your guys we're talking about the divided within Madison because one of the... I know apologize that it's not working. One of the beautiful parts about this tool is that it allows you essentially to bring a voice from somebody that isn't here on the table who might either agree or disagree with the conversation happening and allows us to build up on that. We do have ten minutes left, so I just want to be mindful of your guys' time. I'm just going to move this around.",What time are we scheduled to be done? Is it three?,1,0.9048374180359595,0.1539827585220337,0.13932936164313162
mathias,keetra,72,75,"I'm going to... Okay. I just want to get us on a track. That's all. But I love the fact that your guys we're talking about the divided within Madison because one of the... I know apologize that it's not working. One of the beautiful parts about this tool is that it allows you essentially to bring a voice from somebody that isn't here on the table who might either agree or disagree with the conversation happening and allows us to build up on that. We do have ten minutes left, so I just want to be mindful of your guys' time. I'm just going to move this around.","Five years from now, I hope that I am... There's evidence of my belief that we can do better as a city. And my main motivation for that is my grandchildren and their experiences. It means Madison has to be better.",3,0.7408182206817179,0.39085644483566284,0.28955357600513776
mathias,keetra,74,75,"Three. So I just have two more questions. All right, here it would be essentially, I let the conversation go a little longer, because I couldn't bring that voice. But within the conversation will allow you guys to essentially react to that conversation. And then the next part essentially is, here is just a question from my reflection, but given our conversation today, what is the hope? What do you hope is different about your life here five years from now? And then we can just go around real quick.","Five years from now, I hope that I am... There's evidence of my belief that we can do better as a city. And my main motivation for that is my grandchildren and their experiences. It means Madison has to be better.",1,0.9048374180359595,0.4497961699962616,0.40699240510188084
mathias,keetra,79,82,"I do have more question than answers. We have a little more time, but what would be one thing you want your local representative to hear? So we do share a lot of stuff with local media, policy makers. Pretend they're on the other side. What's one thing you want them to hear?","Along those same lines, one of the most frustrating things for me is every time we have a new local leader, a mayor or a leader of certain organizations that are involved in the community, there's always this initial outreach to different communities of color. I want to convene all the black people and have a conversation. I want to convene all the Latino's and have a conversation to see what the Latinos want. I'm going to convene on the monks and see what the monks would want. And then after that, a glamour shot, where they are engaging with communities of color, nothing happens. And then the next leader comes in, and it starts all over again. And I actually went to see Mayor Satya in my frustrations, like I told her, this is like a game of musical chairs and you're the only one that's not moving around the seats. Because every time she calls a meeting, I'm sitting here, I sit there, and we just dance. It's the same group of people that you're engaging. I can tell you exactly what you have noted and what you want from this meeting, because it's been the same thing that has come up in the last 20 to 35 meetings we've been sat in and told our leaders what we want out of this community. Stop the nonsense. Like just ask one person, what do the black people say? Here's notes from 25 meetings where we sat down and talked to leaders about what we want to see. Nothing's changed. Do something with it. So, yeah,",3,0.7408182206817179,0.34758490324020386,0.2574972295542349
mathias,keetra,81,82,Thank you.,"Along those same lines, one of the most frustrating things for me is every time we have a new local leader, a mayor or a leader of certain organizations that are involved in the community, there's always this initial outreach to different communities of color. I want to convene all the black people and have a conversation. I want to convene all the Latino's and have a conversation to see what the Latinos want. I'm going to convene on the monks and see what the monks would want. And then after that, a glamour shot, where they are engaging with communities of color, nothing happens. And then the next leader comes in, and it starts all over again. And I actually went to see Mayor Satya in my frustrations, like I told her, this is like a game of musical chairs and you're the only one that's not moving around the seats. Because every time she calls a meeting, I'm sitting here, I sit there, and we just dance. It's the same group of people that you're engaging. I can tell you exactly what you have noted and what you want from this meeting, because it's been the same thing that has come up in the last 20 to 35 meetings we've been sat in and told our leaders what we want out of this community. Stop the nonsense. Like just ask one person, what do the black people say? Here's notes from 25 meetings where we sat down and talked to leaders about what we want to see. Nothing's changed. Do something with it. So, yeah,",1,0.9048374180359595,0.007159858010709286,0.006478507435914271
mathias,keetra,87,90,"Yeah, so great question. I knew that was coming actually. There's this system that we developed called Leven. So after this conversation I'm actually... Keetra, if you don't mind, just sending me everyone's emails. I think you have everyone's.","Okay. And just so you know, United Way has also developed a formal partnership with the Local Voices Network. I am the Staff Liaison to our 100th anniversary that's continual community engagement and expansion committee. And so one of the ideas was to host 100 living room conversations across our community. And so I was just partnership with them so we can use this technology to help with us, because I won't to go to a hundred conversations, write a hundred possible notes and do a hundred all of that. So I think it's going to be great. And the next step in that partnership is for us to get together with members of the LVN team to figure out how we can tweak the buttons in this group to make sure we're related to the United Way. Hundred years ago, a hundred years into the future and that's our next step. And we're hopeful that through mobilizing our volunteers and offering opportunities for volunteers and our different stakeholders to serve as facilitators in different conversations, we can tap into all different types of communities and all different relationships and things like that. So I think it's going to be great.",3,0.7408182206817179,0.2993524372577667,0.22176573992603432
mathias,keetra,89,90,"Yeah, perfect. So I... You will have access to this system we created this tool called Leven, which essentially that's you hear the conversation and interact with it so you can both read it and hear at the same time and you can highlight stuff. So things that might seem important, things that you can attract with it a number of ways. But you can also listen to the conversations from all of our connections here in Madison. The tool also, we have chapters and then we'll pack on Appleton. So hopefully our goal is to be bridging communities here within the city, but also within the state and nationally. So that's what happens next. Also, we have a lot of... We partner with a lot of media sources, so the Cap Times [ISMIS 01:11:03], local newspapers that utilize this tool. Just give them our authentic voice about the issues that are happening here in Madison. And we're also working with a few state representatives and hopefully as we keep growing more and more, we can utilize this tool to essentially form policies, or hear what people are actually saying rather than what the media say about a specific topic or like Keetra said, keep going in circles about issues.","Okay. And just so you know, United Way has also developed a formal partnership with the Local Voices Network. I am the Staff Liaison to our 100th anniversary that's continual community engagement and expansion committee. And so one of the ideas was to host 100 living room conversations across our community. And so I was just partnership with them so we can use this technology to help with us, because I won't to go to a hundred conversations, write a hundred possible notes and do a hundred all of that. So I think it's going to be great. And the next step in that partnership is for us to get together with members of the LVN team to figure out how we can tweak the buttons in this group to make sure we're related to the United Way. Hundred years ago, a hundred years into the future and that's our next step. And we're hopeful that through mobilizing our volunteers and offering opportunities for volunteers and our different stakeholders to serve as facilitators in different conversations, we can tap into all different types of communities and all different relationships and things like that. So I think it's going to be great.",1,0.9048374180359595,0.4577995538711548,0.41423416630278986
mathias,keetra,89,92,"Yeah, perfect. So I... You will have access to this system we created this tool called Leven, which essentially that's you hear the conversation and interact with it so you can both read it and hear at the same time and you can highlight stuff. So things that might seem important, things that you can attract with it a number of ways. But you can also listen to the conversations from all of our connections here in Madison. The tool also, we have chapters and then we'll pack on Appleton. So hopefully our goal is to be bridging communities here within the city, but also within the state and nationally. So that's what happens next. Also, we have a lot of... We partner with a lot of media sources, so the Cap Times [ISMIS 01:11:03], local newspapers that utilize this tool. Just give them our authentic voice about the issues that are happening here in Madison. And we're also working with a few state representatives and hopefully as we keep growing more and more, we can utilize this tool to essentially form policies, or hear what people are actually saying rather than what the media say about a specific topic or like Keetra said, keep going in circles about issues.","No, the partnership is suffering.",3,0.7408182206817179,0.08458298444747925,0.062660616038331
mathias,mikaela,1,4,"And we're on. Welcome to this conversation of the Local Voices Network. We're grateful that you decided to join us. There are three main purposes for this conversation. First, we want to create a new space for community members to listen and learn about each other's lives. Second, we want to connect across groups and build our relationship with one another. And third, we want to create a unique listening channel through which we will lift or lift up the voices and the needs of the community to the candidates, local policy makers and members of the media. This conversation will be recorded, transcribed, and added to a growing collection of similar conversations. We'll be making the recordings available to journalists, public officials, researchers, and other participants and partners in the project at Cortico's discretion. Our goal eventually is to make them assessable to the general public. As a participant in this conversation, you are providing consent to Cortico, the operator, or the Local Voices Network to use their recording in accordance with their missions and fostering conversations in communities, and in the media to improve our understanding of one another. This is a public conversation and portions of it may appear in our local newspapers or website, or be broadcast on a local radio station, or appear somewhere else including other forms of media. So please don't say anything you wouldn't want heard by the general public. If you understand and agree to this, please say I agree and we'll just go one by one.",I agree.,3,0.7408182206817179,0.14893731474876404,0.11033547650529235
